,,,Not updated since June 2022,,,,,,,,,,,,,,,,,,,,,,,,,https://health-infobase.canada.ca/covid-19/epidemiological-summary-covid-19-cases.html#9a,,,,,,,,,,,,,,,,,,,,,,,,,0 doses,1 dose,2+ doses,3 doses,All ,0 doses / 1  dose,0 doses / 2+  doses,0 doses / 3  doses,1 doses / 2+ doses,1 doses / 3  doses,2+ doses / 3 doses,,,,,,,,,,,,,,,,,,,,,,,,As of,,,Population size:,,All canadians,,"38,246,108",,,,,,,,,,,,,,,,,,,,,
from Aug 2021 to May 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Table 2. Characteristics and severe outcomes among unvaccinated, partially vaccinated, fully vaccinated.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06-05-22,,,,,with 0 doses,,"5,801,935",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,with 1 dose,,"1,254,472",,,,,,,,,,,,,,,,,,,,,
Deaths,,,"13,240",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Relative proportions of COVID casesd in vaccinated vs. unvaccinated populations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,with 2+ doses,,"31,206,274",,,,,,,,,,,,,,,,,,,,,
,,,,,"Weekly Statistics, counting cases in the reported week",,,,,,,,,,,,,,,,,,,,,,,,"Published Statistics, counting cases since December 14, 2020 (Note: There were NO fully vaccinated in December 2020, which skews the results)",,,,,,,,,,,,,,,,,,,,,,,,Average weekly number of cases in each vaccination status group (per million),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,with 3+ doses,,"17,392,418",,,,,,,,,,,,,,,,,,,,,
SAR,,,#REF!,,"Numbers below are computed as difference between numbers reported in two consecutive reports, averaged over (3) weeks.",,,,,,,,,,,,,,,,,,,,,,,,"Numbers below are copied directly from the source (Table 2). ""Fully vaccinated"" includes those with booster ",,,,,,,,,,,,,,,,,,,,,,,,All ages combined,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Percentage of complications once infected - by vaccination status,,,,,,,,,,,,,Deaths By Age,,,,,,
,,,,,Cases,,,,,,,Hospitalizations,,,,,,,Deaths in the reported week,,,,,,,,,,"Deaths since December 14, 2020:",,,,,,,Hospitalizations,,,,,,,Cases,,,,,,,,,,COVID-19 Cases Deceased,,,,,Odds of cases (averaged over last 5 weeks),,,,,,COVID* Hospitalization,,,,,Odds of cases (averaged over last 5 weeks),,,,,,Cases per million for each population,,,,,Odds of cases (averaged over last 5 weeks),,,,,,,,Vaccination rates,,,,,,,,Cases resulting in Deaths,,,,,,Cases resulting in Hospitalizations,,,,,,,Weekly average since 2020,,,Reported in Figure 7,,,
Report Date (Reports archive),As of:,Full vaccination rate,,,Unvaccinated (0 doses),Not yet protected (1 dose),Partially vaccinated (1 dose),Fully vaccinated (2+ doses),With boosters (3+ doses),Total,Fully vaccinated / Total,Unvaccinated (0 doses),Not yet protected (1 dose),Partially vaccinated (1 dose),Fully vaccinated (2+ doses),With boosters (3+ doses),Total,Fully vaccinated / Total,Unvaccinated (0 doses),Not yet protected (1 dose),Partially vaccinated (1 dose),Fully vaccinated (2+ doses),With boosters (3+ doses),Total,Fully vaccinated / Total,Boosted / Total,,,Unvaccinated (0 doses),Not yet protected (1 dose),Partially vaccinated (1 dose),Fully vaccinated (2+ doses),With boosters (3+ doses),Total,Fully vaccinated / Total,Unvaccinated (0 doses),Not yet protected (1 dose),Partially vaccinated (1 dose),Fully vaccinated (2+ doses),With boosters (3+ doses),Total,Fully vaccinated / Total,Unvaccinated (0 doses),Not yet protected (1 dose),Partially vaccinated (1 dose),Fully vaccinated (2+ doses),With boosters (3+ doses),Total,Fully vaccinated / Total,,"""Not yet protected"" / Total",,0 doses,1 doses,2+ doses,3 doses,All ,0 doses / 1 doses,0 doses / 2+ doses,0 doses / 3 doses,1 doses / 2+ doses,1 doses / 3 doses,2+ doses / 3 doses,0 doses,1 doses,2+ doses,3 doses,All ,0 doses / 1 doses,0 doses / 2+ doses,0 doses / 3 doses,1 doses / 2+ doses,1 doses / 3 doses,2+ doses / 3 doses,0 doses,1 doses,2+ doses,3 doses,All ,0 doses / 1 doses,0 doses / 2+ doses,0 doses / 3 doses,1 doses / 2+ doses,1 doses / 3 doses,2+ doses / 3 doses,,As of:,0 doses: Cumulative percent of UNVACCINATED,Cumulative percent of partially vaccinated people,Cumulative percent of fully vaccinated (2 doses after 14 days) people,Cumulative percent of fully vaccinated people with at least 1 additional dose,,,,,0 doses,Not yet protected (1 dose),Partially vaccinated (1 dose),Fully vaccinated (2+ doses),With boosters (3+ doses),Total,Unvaccinated (0 doses),Partially vaccinated (1 dose),Not yet protected (1 dose),Fully vaccinated (2+ doses),With boosters (3+ doses),Total,,Children (0-19),Under 40,70+,Children (0-19),,Under 40,70+
06-22-22,06-05-22,81.7%,,,"1,463",182,"1,080","27,380","16,710","30,105",91%,174,4,51,"1,216",886,"1,444",84%,41,1,10,307,244,359,86%,68%,,,"10,333",800,975,"7,297","3,790","19,405",37.6%,"53,074","3,282","5,115","38,211","17,762","99,682",38.3%,"968,620","52,284","97,189","1,137,650","360,592","2,255,743",50.4%,,0%,,7,9,10,13,9,1.46,1.58,1.26,1.08,0.86,0.80,30,41,39,48,38,1.25,1.08,0.72,0.86,0.70,0.82,254,882,876,899,787,0.85,0.60,0.53,0.71,0.62,0.88,,06-05-22,15.08%,3.20%,81.72%,48.60%,,,,,1.1%,1.5%,1.0%,0.6%,1.1%,0.9%,5.5%,5.3%,6.3%,3.4%,4.9%,4.4%,,#REF!,#REF!,#REF!,,,,
06-14-22,05-29-22,81.7%,,,"1,248",183,"1,120","33,012","21,621","35,564",93%,201,4,53,"1,503","1,127","1,762",85%,47,1,9,381,312,438,87%,71%,,,"10,305",800,969,"7,156","3,676","19,230",37.2%,"52,918","3,281","5,092","37,547","17,257","98,838",38.0%,"966,267","52,274","97,063","1,131,789","356,115","2,247,393",50.4%,,0%,,8,8,12,17,11,1.60,1.92,1.58,1.20,0.99,0.82,35,43,48,61,46,1.51,1.26,0.93,0.83,0.68,0.82,216,915,"1,056","1,163",930,1.46,0.84,0.70,0.57,0.48,0.84,,05-29-22,15.08%,3.20%,81.72%,48.60%,,,,,1.1%,1.5%,1.0%,0.6%,1.0%,0.9%,5.5%,5.2%,6.3%,3.3%,4.8%,4.4%,,#REF!,#REF!,#REF!,,,,
06-08-22,05-22-22,81.7%,,,"2,032",15,288,"17,488","13,223","19,823",88%,255,1,35,"1,321","1,001","1,612",82%,62,1,6,295,254,363,81%,70%,,,"10,284",798,955,"6,750","3,438","18,787",35.9%,"52,774","3,270","4,992","35,856","16,176","96,892",37.0%,"966,280","51,748","94,253","1,075,668","326,144","2,187,949",49.2%,,0%,,11,5,9,14,9,1.78,2.21,1.87,1.24,1.05,0.85,44,28,42,54,42,1.79,1.46,1.15,0.82,0.68,0.83,352,236,560,711,518,2.54,1.15,0.94,0.45,0.37,0.82,,05-22-22,15.08%,3.20%,81.72%,48.60%,,,,,1.1%,1.5%,1.0%,0.6%,1.1%,0.9%,5.5%,5.3%,6.3%,3.3%,5.0%,4.4%,,#REF!,#REF!,#REF!,,,,
06-02-22,05-15-22,81.7%,,,"2,340",17,319,"18,130","13,379","20,807",87%,277,1,44,"1,418","1,025","1,741",81%,160,5,20,426,287,611,70%,47%,,,"10,209",797,946,"6,376","3,059","18,328",34.8%,"52,553","3,270","4,963","34,564","15,105","95,349",36.2%,"964,231","51,737","93,950","1,055,510","310,462","2,165,428",48.7%,,1%,,28,20,14,15,16,1.75,2.25,1.98,1.29,1.13,0.88,48,36,45,55,46,1.77,1.51,1.30,0.85,0.72,0.84,406,260,580,720,544,2.47,1.15,0.95,0.46,0.38,0.83,,05-15-22,15.08%,3.20%,81.72%,48.60%,,,,,1.1%,1.5%,1.0%,0.6%,1.0%,0.8%,5.5%,5.3%,6.3%,3.3%,4.9%,4.4%,,#REF!,#REF!,#REF!,,,,
05-24-22,05-08-22,81.6%,,,"5,780",-11,395,"19,463","13,433","25,626",76%,470,2,52,"1,460","1,005","1,985",74%,217,5,21,395,249,638,62%,39%,,,"10,164",797,943,"6,012","2,741","17,916",33.6%,"52,314","3,269","4,933","33,037","13,875","93,553",35.3%,"962,522","51,724","93,702","1,032,754","291,251","2,140,702",48.2%,,1%,,37,21,13,13,17,1.95,2.25,1.99,1.15,1.02,0.88,81,42,47,54,52,1.84,1.65,1.37,0.90,0.77,0.86,996,317,623,727,670,2.43,1.15,0.97,0.48,0.40,0.84,,05-08-22,15.2%,3.3%,81.6%,48.3%,,,,,1.1%,1.5%,1.0%,0.6%,0.9%,0.8%,5.4%,5.3%,6.3%,3.2%,4.8%,4.4%,,#REF!,#REF!,#REF!,,,,
