date,status,age_group,gender,count,rate_per_100000
2020-01-18,cases,0 to 11,male,1,0.04078586199
2020-01-18,cases,0 to 11,female,1,0.04284044121
2020-01-18,cases,0 to 11,all,2,0.04178791255
2020-01-18,cases,12 to 19,female,1,0.05979148318
2020-01-18,cases,12 to 19,all,1,0.02932793856
2020-01-18,cases,20 to 29,male,1,0.03680414856
2020-01-18,cases,20 to 29,all,1,0.01914217776
2020-01-18,cases,30 to 39,male,1,0.03587171128
2020-01-18,cases,30 to 39,all,1,0.01817527508
2020-01-18,cases,50 to 59,male,1,0.03982816536
2020-01-18,cases,50 to 59,female,1,0.03924612896
2020-01-18,cases,50 to 59,all,2,0.03953500508
2020-01-18,cases,all,male,4,0.02066355532
2020-01-18,cases,all,female,3,0.01532790293
2020-01-18,cases,all,all,7,0.01798103679
2020-01-18,hospitalizations,50 to 59,male,1,0.03982816536
2020-01-18,hospitalizations,50 to 59,all,1,0.01976750254
2020-01-18,hospitalizations,all,male,1,0.00516588883
2020-01-18,hospitalizations,all,all,1,0.002568719541
2020-01-25,cases,20 to 29,male,1,0.03680414856
2020-01-25,cases,20 to 29,female,3,0.1196658451
2020-01-25,cases,20 to 29,all,4,0.07656871104
2020-01-25,cases,30 to 39,female,1,0.03684234571
2020-01-25,cases,30 to 39,all,1,0.01817527508
2020-01-25,cases,40 to 49,male,1,0.04050203077
2020-01-25,cases,40 to 49,all,1,0.02008281349
2020-01-25,cases,50 to 59,male,1,0.03982816536
2020-01-25,cases,50 to 59,female,1,0.03924612896
2020-01-25,cases,50 to 59,all,2,0.03953500508
2020-01-25,cases,60 to 69,female,1,0.03952419197
2020-01-25,cases,60 to 69,all,1,0.02021016143
2020-01-25,cases,70 to 79,female,1,0.05825166935
2020-01-25,cases,70 to 79,all,1,0.03066032529
2020-01-25,cases,80+,female,1,0.09624629813
2020-01-25,cases,80+,all,1,0.05680769176
2020-01-25,cases,all,male,3,0.01549766649
2020-01-25,cases,all,female,8,0.04087440781
2020-01-25,cases,all,all,11,0.02825591495
2020-01-25,hospitalizations,40 to 49,male,1,0.04050203077
2020-01-25,hospitalizations,40 to 49,all,1,0.02008281349
2020-01-25,hospitalizations,all,male,1,0.00516588883
2020-01-25,hospitalizations,all,all,1,0.002568719541
2020-01-25,icu,40 to 49,male,1,0.04050203077
2020-01-25,icu,40 to 49,all,1,0.02008281349
2020-01-25,icu,all,male,1,0.00516588883
2020-01-25,icu,all,all,1,0.002568719541
2020-02-01,cases,0 to 11,male,1,0.04078586199
2020-02-01,cases,0 to 11,female,1,0.04284044121
2020-02-01,cases,0 to 11,all,2,0.04178791255
2020-02-01,cases,20 to 29,male,1,0.03680414856
2020-02-01,cases,20 to 29,female,3,0.1196658451
2020-02-01,cases,20 to 29,all,4,0.07656871104
2020-02-01,cases,30 to 39,female,2,0.07368469142
2020-02-01,cases,30 to 39,all,2,0.03635055017
2020-02-01,cases,40 to 49,female,1,0.03983476539
2020-02-01,cases,40 to 49,all,1,0.02008281349
2020-02-01,cases,50 to 59,male,1,0.03982816536
2020-02-01,cases,50 to 59,female,4,0.1569845158
2020-02-01,cases,50 to 59,all,5,0.09883751271
2020-02-01,cases,60 to 69,male,3,0.1240740971
2020-02-01,cases,60 to 69,female,1,0.03952419197
2020-02-01,cases,60 to 69,all,4,0.08084064571
2020-02-01,cases,all,male,6,0.03099533298
2020-02-01,cases,all,female,12,0.06131161172
2020-02-01,cases,all,all,18,0.04623695174
2020-02-01,hospitalizations,50 to 59,female,1,0.03924612896
2020-02-01,hospitalizations,50 to 59,all,1,0.01976750254
2020-02-01,hospitalizations,all,female,1,0.005109300977
2020-02-01,hospitalizations,all,all,1,0.002568719541
2020-02-01,icu,50 to 59,female,1,0.03924612896
2020-02-01,icu,50 to 59,all,1,0.01976750254
2020-02-01,icu,all,female,1,0.005109300977
2020-02-01,icu,all,all,1,0.002568719541
2020-02-08,cases,12 to 19,male,1,0.05756260365
2020-02-08,cases,12 to 19,all,1,0.02932793856
2020-02-08,cases,20 to 29,male,2,0.07360829713
2020-02-08,cases,20 to 29,female,1,0.03988861503
2020-02-08,cases,20 to 29,all,3,0.05742653328
2020-02-08,cases,30 to 39,male,1,0.03587171128
2020-02-08,cases,30 to 39,female,2,0.07368469142
2020-02-08,cases,30 to 39,all,3,0.05452582525
2020-02-08,cases,40 to 49,female,1,0.03983476539
2020-02-08,cases,40 to 49,all,1,0.02008281349
2020-02-08,cases,all,male,4,0.02066355532
2020-02-08,cases,all,female,4,0.02043720391
2020-02-08,cases,all,all,8,0.02054975633
2020-02-15,cases,0 to 11,male,2,0.08157172398
2020-02-15,cases,0 to 11,all,2,0.04178791255
2020-02-15,cases,12 to 19,male,1,0.05756260365
2020-02-15,cases,12 to 19,female,2,0.1195829664
2020-02-15,cases,12 to 19,all,3,0.08798381567
2020-02-15,cases,30 to 39,female,3,0.1105270371
