pruid,prname,prnameFR,date,reporting_week,reporting_year,update,numcases_total,numcases_weekly,ratecases_total,numdeaths_total,numdeaths_weekly,ratedeaths_total,ratecases_last7,ratedeaths_last7,numcases_last14,numdeaths_last14,ratecases_last14,ratedeaths_last14,avgcases_last7,avgincidence_last7,avgdeaths_last7,avgratedeaths_last7
59,British Columbia,Colombie-Britannique,2020-02-01,5,2020,0,0,0,0.00,0,0,0,0.00,0.00,,,,,0.00,0.00,0.00,0.00
1,Canada,Canada,2020-02-01,5,2020,0,0,0,0.00,0,0,0,0.00,0.00,,,,,0.00,0.00,0.00,0.00
35,Ontario,Ontario,2020-02-01,5,2020,0,0,0,0.00,0,0,0,0.00,0.00,,,,,0.00,0.00,0.00,0.00
59,British Columbia,Colombie-Britannique,2020-02-08,6,2020,0,3,3,0.06,0,0,0,0.06,0.00,3,0,0.06,0,0.43,0.01,0.00,0.00
1,Canada,Canada,2020-02-08,6,2020,0,0,0,0.00,0,0,0,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00
35,Ontario,Ontario,2020-02-08,6,2020,0,0,0,0.00,0,0,0,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00
59,British Columbia,Colombie-Britannique,2020-02-15,7,2020,0,3,0,0.06,0,0,0,0.00,0.00,3,0,0.06,0,0.00,0.00,0.00,0.00
1,Canada,Canada,2020-02-15,7,2020,0,0,0,0.00,0,0,0,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00
35,Ontario,Ontario,2020-02-15,7,2020,0,0,0,0.00,0,0,0,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00
59,British Columbia,Colombie-Britannique,2020-02-22,8,2020,0,5,2,0.10,0,0,0,0.04,0.00,2,0,0.04,0,0.29,0.01,0.00,0.00
1,Canada,Canada,2020-02-22,8,2020,0,0,0,0.00,0,0,0,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00
35,Ontario,Ontario,2020-02-22,8,2020,0,0,0,0.00,0,0,0,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00
59,British Columbia,Colombie-Britannique,2020-02-29,9,2020,0,6,1,0.12,0,0,0,0.02,0.00,3,0,0.06,0,0.14,0.00,0.00,0.00
1,Canada,Canada,2020-02-29,9,2020,0,5,5,0.02,0,0,0,0.02,0.00,5,0,0.02,0,0.71,0.00,0.00,0.00
35,Ontario,Ontario,2020-02-29,9,2020,0,5,5,0.03,0,0,0,0.03,0.00,5,0,0.03,0,0.71,0.00,0.00,0.00
59,British Columbia,Colombie-Britannique,2020-03-07,10,2020,0,26,20,0.50,0,0,0,0.38,0.00,21,0,0.4,0,2.86,0.05,0.00,0.00
1,Canada,Canada,2020-03-07,10,2020,0,26,21,0.11,0,0,0,0.09,0.00,26,0,0.11,0,3.00,0.01,0.00,0.00
